company_id,company_name,invoice_id,supplier_name,category,invoice_date,due_date,amount,status,payment_date,days_late_or_early
code_and_coffee,Code & Coffee GmbH,SINV_credit_card_CC00001,Gastro Einweg GmbH,Supplies,2021-12-28,2022-01-11,229.00,paid,2022-01-01,-10
code_and_coffee,Code & Coffee GmbH,SINV_ingredient_TXI6000,Nordbohnen Roastery,COGS,2022-01-03,2022-01-15,3458.39,paid,2022-01-08,-7
code_and_coffee,Code & Coffee GmbH,SINV_credit_card_CC00002,IT Service OWL,Other,2022-01-02,2022-01-16,444.00,paid,2022-01-08,-8
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00014,Gebaeck Grosshandel OWL,COGS,2022-01-10,2022-01-17,444.00,paid,2022-01-11,-6
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00005,Stadtwerke Bielefeld (Energie),Operating Expense,2021-12-30,2022-01-20,430.00,paid,2022-01-04,-16
code_and_coffee,Code & Coffee GmbH,SINV_ingredient_TXI6001,Milchhof Bielefeld,COGS,2022-01-10,2022-01-22,1921.33,paid,2022-01-15,-7
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00031,Nordbohnen Roastery,COGS,2022-01-21,2022-01-28,487.00,paid,2022-01-24,-4
code_and_coffee,Code & Coffee GmbH,SINV_ingredient_TXI6002,Gebaeck Grosshandel OWL,COGS,2022-01-17,2022-01-28,2305.59,paid,2022-01-22,-6
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00017,Stadtwerke Bielefeld (Energie),Operating Expense,2022-01-08,2022-01-29,287.00,paid,2022-01-13,-16
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00029,Gebaeck Grosshandel OWL,COGS,2022-01-22,2022-01-29,305.00,paid,2022-01-23,-6
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00034,Nordbohnen Roastery,COGS,2022-01-23,2022-01-30,290.00,paid,2022-01-26,-4
code_and_coffee,Code & Coffee GmbH,SINV_credit_card_CC00004,Social Ads Agentur Bielefeld,Marketing,2022-01-13,2022-02-03,360.00,paid,2022-01-15,-19
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00009,Immobilien Bielefeld Mitte (Miete),Operating Expense,2022-01-07,2022-02-06,443.00,paid,2022-01-07,-30
code_and_coffee,Code & Coffee GmbH,SINV_credit_card_CC00005,Social Ads Agentur Bielefeld,Marketing,2022-01-20,2022-02-10,539.00,paid,2022-01-22,-19
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00047,Gebaeck Grosshandel OWL,COGS,2022-02-05,2022-02-12,426.00,paid,2022-02-06,-6
code_and_coffee,Code & Coffee GmbH,SINV_credit_card_CC00007,Stadtwerke Bielefeld (Energie),Utilities,2022-01-24,2022-02-14,494.00,paid,2022-01-29,-16
code_and_coffee,Code & Coffee GmbH,SINV_ingredient_TXI6003,Nordbohnen Roastery,COGS,2022-02-03,2022-02-15,3074.91,paid,2022-02-08,-7
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00025,Immobilien Bielefeld Mitte (Miete),Operating Expense,2022-01-20,2022-02-19,485.00,paid,2022-01-20,-30
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00057,Buero- und Ladenausstattung Krause,Operating Expense,2022-02-07,2022-02-21,161.00,paid,2022-02-14,-7
code_and_coffee,Code & Coffee GmbH,SINV_ingredient_TXI6004,Milchhof Bielefeld,COGS,2022-02-10,2022-02-22,1708.28,paid,2022-02-15,-7
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00050,Stadtwerke Bielefeld (Energie),Operating Expense,2022-02-03,2022-02-24,238.00,paid,2022-02-08,-16
code_and_coffee,Code & Coffee GmbH,SINV_credit_card_CC00008,Social Ads Agentur Bielefeld,Marketing,2022-02-03,2022-02-24,179.00,paid,2022-02-05,-19
