company_id,company_name,date,checking_main_balance,checking_secondary_balance,consolidated_cash_balance
code_and_coffee,Code & Coffee GmbH,2022-01-01,12399.00,5403.00,17802.00
code_and_coffee,Code & Coffee GmbH,2022-01-02,13369.00,5403.00,18772.00
code_and_coffee,Code & Coffee GmbH,2022-01-03,14257.00,5403.00,19660.00
code_and_coffee,Code & Coffee GmbH,2022-01-04,14648.00,5403.00,20051.00
code_and_coffee,Code & Coffee GmbH,2022-01-05,15435.00,5403.00,20838.00
code_and_coffee,Code & Coffee GmbH,2022-01-06,16494.00,5403.00,21897.00
code_and_coffee,Code & Coffee GmbH,2022-01-07,16900.00,5403.00,22303.00
code_and_coffee,Code & Coffee GmbH,2022-01-08,14554.61,5403.00,19957.61
code_and_coffee,Code & Coffee GmbH,2022-01-09,15445.61,5403.00,20848.61
code_and_coffee,Code & Coffee GmbH,2022-01-10,15877.61,5403.00,21280.61
code_and_coffee,Code & Coffee GmbH,2022-01-11,16154.61,5403.00,21557.61
code_and_coffee,Code & Coffee GmbH,2022-01-12,17328.61,5403.00,22731.61
code_and_coffee,Code & Coffee GmbH,2022-01-13,17910.61,5403.00,23313.61
code_and_coffee,Code & Coffee GmbH,2022-01-14,18973.61,5403.00,24376.61
code_and_coffee,Code & Coffee GmbH,2022-01-15,18071.28,2715.00,20786.28
code_and_coffee,Code & Coffee GmbH,2022-01-16,19255.28,2715.00,21970.28
code_and_coffee,Code & Coffee GmbH,2022-01-17,19975.28,2715.00,22690.28
code_and_coffee,Code & Coffee GmbH,2022-01-18,20948.28,2715.00,23663.28
code_and_coffee,Code & Coffee GmbH,2022-01-19,21963.28,2715.00,24678.28
code_and_coffee,Code & Coffee GmbH,2022-01-20,22442.28,2715.00,25157.28
code_and_coffee,Code & Coffee GmbH,2022-01-21,23233.28,2715.00,25948.28
code_and_coffee,Code & Coffee GmbH,2022-01-22,22081.69,2715.00,24796.69
code_and_coffee,Code & Coffee GmbH,2022-01-23,22739.69,2715.00,25454.69
code_and_coffee,Code & Coffee GmbH,2022-01-24,22885.69,2715.00,25600.69
code_and_coffee,Code & Coffee GmbH,2022-01-25,23974.69,2715.00,26689.69
code_and_coffee,Code & Coffee GmbH,2022-01-26,24643.69,2715.00,27358.69
code_and_coffee,Code & Coffee GmbH,2022-01-27,25560.69,2715.00,28275.69
code_and_coffee,Code & Coffee GmbH,2022-01-28,26461.69,2715.00,29176.69
code_and_coffee,Code & Coffee GmbH,2022-01-29,27430.69,2715.00,30145.69
code_and_coffee,Code & Coffee GmbH,2022-01-30,28086.69,2715.00,30801.69
code_and_coffee,Code & Coffee GmbH,2022-01-31,28975.69,2715.00,31690.69
code_and_coffee,Code & Coffee GmbH,2022-02-01,24103.69,8494.00,32597.69
code_and_coffee,Code & Coffee GmbH,2022-02-02,25169.69,8494.00,33663.69
code_and_coffee,Code & Coffee GmbH,2022-02-03,26278.69,8494.00,34772.69
code_and_coffee,Code & Coffee GmbH,2022-02-04,27165.69,8494.00,35659.69
code_and_coffee,Code & Coffee GmbH,2022-02-05,27905.69,8494.00,36399.69
code_and_coffee,Code & Coffee GmbH,2022-02-06,28479.69,8494.00,36973.69
code_and_coffee,Code & Coffee GmbH,2022-02-07,29522.69,8494.00,38016.69
code_and_coffee,Code & Coffee GmbH,2022-02-08,27044.78,8494.00,35538.78
code_and_coffee,Code & Coffee GmbH,2022-02-09,27824.78,8494.00,36318.78
code_and_coffee,Code & Coffee GmbH,2022-02-10,28942.78,8494.00,37436.78
code_and_coffee,Code & Coffee GmbH,2022-02-11,29902.78,8494.00,38396.78
code_and_coffee,Code & Coffee GmbH,2022-02-12,30642.78,8494.00,39136.78
code_and_coffee,Code & Coffee GmbH,2022-02-13,31542.78,8494.00,40036.78
code_and_coffee,Code & Coffee GmbH,2022-02-14,32498.78,8494.00,40992.78
code_and_coffee,Code & Coffee GmbH,2022-02-15,29802.50,3278.00,33080.50
