company_id,company_name,invoice_id,customer_name,customer_city,issue_date,due_date,amount,payment_date,status,data_origin
code_and_coffee,Code & Coffee GmbH,CINV5000,Nordwelle Consulting GmbH,Bielefeld,2022-01-21,2022-02-20,296.76,2022-02-19,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5001,Nordwelle Consulting GmbH,Bielefeld,2022-02-02,2022-03-04,733.39,2022-03-11,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5002,Nordwelle Consulting GmbH,Bielefeld,2022-02-18,2022-03-20,299.96,2022-03-16,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5003,Solid Office Supplies eK,Detmold,2022-02-28,2022-03-30,413.22,2022-03-26,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5004,Ostpark Buero Services,Herford,2022-03-16,2022-04-15,580.97,2022-04-15,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5005,Rheinstadt Event GmbH,Bielefeld,2022-03-28,2022-04-27,507.97,2022-04-25,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5006,Nordwelle Consulting GmbH,Bielefeld,2022-04-08,2022-05-08,534.55,2022-05-06,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5007,Nordwelle Consulting GmbH,Bielefeld,2022-04-22,2022-05-22,768.92,2022-05-19,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5008,Solid Office Supplies eK,Detmold,2022-05-03,2022-06-02,476.43,2022-05-31,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5009,Nordwelle Consulting GmbH,Bielefeld,2022-05-16,2022-06-15,310.7,2022-06-13,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5010,Ostpark Buero Services,Herford,2022-05-27,2022-06-26,860.54,2022-06-23,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5011,Ostpark Buero Services,Herford,2022-06-11,2022-07-11,528.02,2022-07-09,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5012,Solid Office Supplies eK,Detmold,2022-06-22,2022-07-22,705.44,2022-07-21,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5013,Rheinstadt Event GmbH,Bielefeld,2022-07-04,2022-08-03,534.24,2022-09-22,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5014,Ostpark Buero Services,Herford,2022-07-22,2022-08-21,738.69,2022-08-27,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5015,Nordwelle Consulting GmbH,Bielefeld,2022-08-04,2022-09-03,819.38,2022-09-03,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5016,Solid Office Supplies eK,Detmold,2022-08-17,2022-09-16,867.17,2022-09-13,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5017,Rheinstadt Event GmbH,Bielefeld,2022-09-02,2022-10-02,375.72,2022-09-28,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5018,Katering Vier Jahreszeiten,Guetersloh,2022-09-20,2022-10-20,780.5,2022-10-16,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5019,Katering Vier Jahreszeiten,Guetersloh,2022-10-06,2022-11-05,426.94,2022-12-21,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5020,Nordwelle Consulting GmbH,Bielefeld,2022-10-23,2022-11-22,786.37,2022-12-01,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5021,Rheinstadt Event GmbH,Bielefeld,2022-11-04,2022-12-04,679.59,2022-11-30,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5022,Solid Office Supplies eK,Detmold,2022-11-21,2022-12-21,448.45,2022-12-21,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5023,Solid Office Supplies eK,Detmold,2022-12-02,2023-01-01,783.09,2023-01-16,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5024,Katering Vier Jahreszeiten,Guetersloh,2022-12-13,2023-01-12,571.29,2023-01-10,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5025,Ostpark Buero Services,Herford,2022-12-31,2023-01-30,620.15,2023-01-28,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5026,Solid Office Supplies eK,Detmold,2023-01-18,2023-02-17,413.27,2023-02-16,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5027,Solid Office Supplies eK,Detmold,2023-02-05,2023-03-07,895.39,2023-03-04,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5028,Nordwelle Consulting GmbH,Bielefeld,2023-02-15,2023-03-17,902.5,2023-03-31,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5029,Nordwelle Consulting GmbH,Bielefeld,2023-02-28,2023-03-30,441.38,2023-03-30,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5030,Rheinstadt Event GmbH,Bielefeld,2023-03-11,2023-04-10,826.74,2023-05-27,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5031,Ostpark Buero Services,Herford,2023-03-23,2023-04-22,722.03,2023-05-27,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5032,Solid Office Supplies eK,Detmold,2023-04-06,2023-05-06,864.53,2023-05-05,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5033,Ostpark Buero Services,Herford,2023-04-24,2023-05-24,757.68,2023-05-22,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5034,Solid Office Supplies eK,Detmold,2023-05-11,2023-06-10,2709.31,2023-08-23,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5035,Nordwelle Consulting GmbH,Bielefeld,2023-05-26,2023-06-25,3106.1,2023-09-17,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5036,Nordwelle Consulting GmbH,Bielefeld,2023-06-05,2023-07-05,3452.74,2023-09-17,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5037,Katering Vier Jahreszeiten,Guetersloh,2023-06-15,2023-07-15,1605.49,2023-10-24,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5038,Solid Office Supplies eK,Detmold,2023-06-28,2023-07-28,1783.7,2023-11-11,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5039,Ostpark Buero Services,Herford,2023-07-15,2023-08-14,3675.4,2023-11-04,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5040,Nordwelle Consulting GmbH,Bielefeld,2023-07-26,2023-08-25,721.52,2023-08-22,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5041,Nordwelle Consulting GmbH,Bielefeld,2023-08-12,2023-09-11,731.15,2023-10-14,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5042,Rheinstadt Event GmbH,Bielefeld,2023-08-22,2023-09-21,767.9,2023-09-29,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5043,Ostpark Buero Services,Herford,2023-09-04,2023-10-04,407.44,2023-10-01,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5044,Katering Vier Jahreszeiten,Guetersloh,2023-09-16,2023-10-16,589.96,2023-10-23,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5045,Solid Office Supplies eK,Detmold,2023-10-03,2023-11-02,345.6,2023-11-24,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5046,Nordwelle Consulting GmbH,Bielefeld,2023-10-13,2023-11-12,900.67,2023-11-22,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5047,Rheinstadt Event GmbH,Bielefeld,2023-10-29,2023-11-28,602.51,2023-12-04,paid_late,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5048,Rheinstadt Event GmbH,Bielefeld,2023-11-10,2023-12-10,281.44,2023-12-07,paid_on_time,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5049,Rheinstadt Event GmbH,Bielefeld,2023-11-24,2023-12-24,746.72,,open_overdue,synthetic
code_and_coffee,Code & Coffee GmbH,CINV5050,Ostpark Buero Services,Herford,2023-12-11,2024-01-10,407.23,,open,synthetic
