company_id,company_name,date,transaction_id,description,category,type,amount,balance,data_origin
code_and_coffee,Code & Coffee GmbH,2022-01-01,SC00001,Transfer from Main,Transfer,Credit,3403,5403.0,original
code_and_coffee,Code & Coffee GmbH,2022-01-15,SC00002,Payroll Funding,Payroll,Debit,2688,2715.0,original
code_and_coffee,Code & Coffee GmbH,2022-02-01,SC00003,Transfer from Main,Transfer,Credit,5779,8494.0,original
code_and_coffee,Code & Coffee GmbH,2022-02-15,SC00004,Payroll Funding,Payroll,Debit,5216,3278.0,original
code_and_coffee,Code & Coffee GmbH,2022-02-15,SC1000,Transfer from Main (funding top-up),Transfer,Credit,1786.0,5064.0,derived
code_and_coffee,Code & Coffee GmbH,2022-02-15,SC1001,Payroll Funding (top-up),Payroll,Debit,1786.0,3278.0,derived
code_and_coffee,Code & Coffee GmbH,2022-03-01,SC00005,Transfer from Main,Transfer,Credit,5579,8857.0,original
code_and_coffee,Code & Coffee GmbH,2022-03-15,SC00006,Payroll Funding,Payroll,Debit,5228,3629.0,original
code_and_coffee,Code & Coffee GmbH,2022-03-15,SC1002,Transfer from Main (funding top-up),Transfer,Credit,1835.0,5464.0,derived
code_and_coffee,Code & Coffee GmbH,2022-03-15,SC1003,Payroll Funding (top-up),Payroll,Debit,1835.0,3629.0,derived
code_and_coffee,Code & Coffee GmbH,2022-04-01,SC00007,Transfer from Main,Transfer,Credit,4712,8341.0,original
code_and_coffee,Code & Coffee GmbH,2022-04-15,SC00008,Payroll Funding,Payroll,Debit,4093,4248.0,original
code_and_coffee,Code & Coffee GmbH,2022-04-15,SC1004,Transfer from Main (funding top-up),Transfer,Credit,2734.0,6982.0,derived
code_and_coffee,Code & Coffee GmbH,2022-04-15,SC1005,Payroll Funding (top-up),Payroll,Debit,2734.0,4248.0,derived
code_and_coffee,Code & Coffee GmbH,2022-05-01,SC00009,Transfer from Main,Transfer,Credit,4273,8521.0,original
code_and_coffee,Code & Coffee GmbH,2022-05-15,SC00010,Payroll Funding,Payroll,Debit,3957,4564.0,original
code_and_coffee,Code & Coffee GmbH,2022-05-15,SC1006,Transfer from Main (funding top-up),Transfer,Credit,3117.0,7681.0,derived
code_and_coffee,Code & Coffee GmbH,2022-05-15,SC1007,Payroll Funding (top-up),Payroll,Debit,3117.0,4564.0,derived
code_and_coffee,Code & Coffee GmbH,2022-06-01,SC00011,Transfer from Main,Transfer,Credit,5913,10477.0,original
code_and_coffee,Code & Coffee GmbH,2022-06-15,SC00012,Payroll Funding,Payroll,Debit,5202,5275.0,original
code_and_coffee,Code & Coffee GmbH,2022-06-15,SC1008,Transfer from Main (funding top-up),Transfer,Credit,1794.0,7069.0,derived
code_and_coffee,Code & Coffee GmbH,2022-06-15,SC1009,Payroll Funding (top-up),Payroll,Debit,1794.0,5275.0,derived
