company_id,company_name,invoice_id,supplier_name,category,invoice_date,due_date,payment_date,amount,status,source_transaction_id,source_account,data_origin
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00005,Stadtwerke Bielefeld (Energie),Operating Expense,2021-12-30,2022-01-20,2022-01-04,430,paid,TX00005,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00009,Immobilien Bielefeld Mitte (Miete),Operating Expense,2022-01-07,2022-02-06,2022-01-07,443,paid,TX00009,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00014,Gebaeck Grosshandel OWL,COGS,2022-01-10,2022-01-17,2022-01-11,444,paid,TX00014,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00017,Stadtwerke Bielefeld (Energie),Operating Expense,2022-01-08,2022-01-29,2022-01-13,287,paid,TX00017,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00025,Immobilien Bielefeld Mitte (Miete),Operating Expense,2022-01-20,2022-02-19,2022-01-20,485,paid,TX00025,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00029,Gebaeck Grosshandel OWL,COGS,2022-01-22,2022-01-29,2022-01-23,305,paid,TX00029,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00031,Nordbohnen Roastery,COGS,2022-01-21,2022-01-28,2022-01-24,487,paid,TX00031,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00034,Nordbohnen Roastery,COGS,2022-01-23,2022-01-30,2022-01-26,290,paid,TX00034,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00039,Immobilien Bielefeld Mitte (Miete),Operating Expense,2022-01-30,2022-03-01,2022-01-30,314,paid,TX00039,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00047,Gebaeck Grosshandel OWL,COGS,2022-02-05,2022-02-12,2022-02-06,426,paid,TX00047,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00050,Stadtwerke Bielefeld (Energie),Operating Expense,2022-02-03,2022-02-24,2022-02-08,238,paid,TX00050,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00057,Buero- und Ladenausstattung Krause,Operating Expense,2022-02-07,2022-02-21,2022-02-14,161,paid,TX00057,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00066,Buero- und Ladenausstattung Krause,Operating Expense,2022-02-15,2022-03-01,2022-02-22,479,paid,TX00066,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00068,Gebaeck Grosshandel OWL,COGS,2022-02-22,2022-03-01,2022-02-23,330,paid,TX00068,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00079,Stadtwerke Bielefeld (Energie),Operating Expense,2022-02-28,2022-03-21,2022-03-05,385,paid,TX00079,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00083,Stadtwerke Bielefeld (Energie),Operating Expense,2022-03-03,2022-03-24,2022-03-08,476,paid,TX00083,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00089,Stadtwerke Bielefeld (Energie),Operating Expense,2022-03-08,2022-03-29,2022-03-13,271,paid,TX00089,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00096,Stadtwerke Bielefeld (Energie),Operating Expense,2022-03-14,2022-04-04,2022-03-19,180,paid,TX00096,checking_main,derived
code_and_coffee,Code & Coffee GmbH,SINV_checking_main_TX00099,Gebaeck Grosshandel OWL,COGS,2022-03-20,2022-03-27,2022-03-21,323,paid,TX00099,checking_main,derived
